transaction_id,order_date,customer_name,address,city,state,customer_type,account_manager,order_priority,product_name,product_category,product_container,ship_mode,ship_date,cost_price($),retail_price($),profit_margin($),order_quantity($),sub_total($),discount_percent,discount_amount($),order_total($),shipping_cost($),total($)
TX1000,2/9/2019,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Small Business,Tina Carlton,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,4/9/2019,156.5,300.97,144.47000000000003,23.0,6922.31,2.0,138.4462,6783.8638,7.18,6791.0438
TX1001,24/10/2020,Shahid Hopkins,"438 Victoria Avenue,Chatswood",Sydney,NSW,Corporate,Natasha Song,Medium,Bagged Rubber Bands,Office Supplies,Small Pack,Regular Air,26/10/2020,0.24,1.26,1.02,8.0,10.08,3.0,0.3024,9.7776,0.7,10.477599999999999
TX1002,13/3/2019,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Consumer,Connor Betts,Not Specified,TechSavi Cordless Navigator Duo,Office Supplies,Small Box,Regular Air,13/3/2019,42.11,80.98,38.870000000000005,45.0,3644.1000000000004,4.0,145.764,3498.3360000000002,7.18,3505.516
TX1003,18/2/2018,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Small Business,Phoebe Gour,Critical,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Wrap Bag,Regular Air,20/2/2018,5.33,8.6,3.2699999999999996,16.0,137.6,1.0,1.376,136.224,6.19,142.414
TX1004,13/9/2019,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Not Specified,Pizazz Drawing Pencil Set,Office Supplies,Wrap Bag,Express Air,17/9/2019,1.53,2.78,1.2499999999999998,49.0,136.22,7.0,9.5354,126.6846,1.34,128.0246
TX1005,24/11/2018,Patrick OBrill,"53 Riley Street,Woolloomooloo",Sydney,NSW,Home Office,Tina Carlton,Not Specified,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Regular Air,26/11/2018,4.59,7.28,2.6900000000000004,45.0,327.6,8.0,26.208000000000002,301.392,11.15,312.542
TX1006,8/6/2019,John Lee,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Artisan Hole Reinforcements,Office Supplies,Wrap Bag,Regular Air,10/6/2019,3.99,6.23,2.24,25.0,155.75,10.0,15.575,140.175,6.97,147.145
TX1007,11/2/2018,Alex Russell,"99 Lygon Street,East Brunswick",Melbourne,VIC,Consumer,Connor Betts,Low,"DrawIt Pizazz Watercolor Pencils, 10-Color Set with Brush",Office Supplies,Wrap Bag,Regular Air,12/2/2018,2.39,4.26,1.8699999999999997,18.0,76.67999999999999,6.0,4.6008,72.07919999999999,1.2,73.27919999999999
TX1008,29/12/2018,Lena Creighton,"127 Liverpool St,Sydney",Sydney,NSW,Small Business,Samantha Chairs,Low,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Wrap Bag,Express Air,22/12/2018,54.29,90.48,36.190000000000005,1.0,90.48,2.0,1.8096,88.6704,19.99,108.6604
TX1009,11/5/2020,Bill Stewart,"Westfield Sydney,Sydney",Sydney,NSW,Small Business,Natasha Song,Low,"Steady EarthWrite Recycled Pencils, Medium Soft, #2",Office Supplies,Small Box,Express Air,13/5/2020,0.9,2.1,1.2000000000000002,49.0,102.9,5.0,5.145,97.75500000000001,0.7,98.45500000000001
TX1010,22/2/2018,Rick Han,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Small Business,Nicholas Fernandes,Not Specified,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Wrap Bag,Regular Air,23/2/2018,156.5,300.97,144.47000000000003,49.0,14747.53,7.0,1032.3271,13715.2029,7.18,13722.3829
TX1011,25/2/2018,Katherine Ducich,"61A Bay Road,Wollstonecraft",Sydney,NSW,Small Business,Samantha Chairs,High,TypeRight Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,Small Box,Regular Air,27/2/2018,54.29,90.48,36.190000000000005,42.0,3800.1600000000003,5.0,190.00800000000004,3610.152,19.99,3630.142
TX1012,30/4/2018,Pamela Stobb,"273 George Street,Sydney",Sydney,NSW,Consumer,Leighton Forrest,Low,HFX LaserJet 3310 Copier,Technology,Small Box,Regular Air,2/5/2018,377.99,599.99,222.0,35.0,20999.65,5.0,1049.9825,19949.667500000003,24.49,19974.157500000005
TX1013,7/3/2018,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,OIC Thumb-Tacks,Office Supplies,Small Box,Express Air,10/3/2018,0.71,1.14,0.42999999999999994,14.0,15.959999999999999,2.0,0.3192,31.6008,0.7,32.3008
TX1013,7/3/2018,Sean ODonnell,"541 Church St ,Richmond",Melbourne,VIC,Corporate,Yvette Biti,Medium,OIC Thumb-Tacks,Furniture,Large Box,Express Air,10/3/2018,0.71,1.14,0.42999999999999994,14.0,15.959999999999999,0.0,0.0,31.6008,0.7,32.3008
TX1014,16/3/2018,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Home Office,Tina Carlton,Medium,Smiths Standard Envelopes,Technology,Small Box,Regular Air,20/3/2018,3.52,5.68,2.1599999999999997,34.0,193.12,2.0,3.8624,189.2576,1.39,190.64759999999998
TX1015,20/10/2020,Eva Jacobs,"Westfield 1 Anderson St,Chatswood",Sydney,NSW,Small Business,Nicholas Fernandes,Medium,Artisan Hi-Liter Smear-Safe Highlighters,Office Supplies,Small Box,Regular Air,24/10/2020,2.98,5.84,2.86,48.0,280.32,8.0,22.4256,257.8944,0.83,258.7244
TX1016,18/4/2020,Philip Brown,"499-501 Lygon Street,Carlton North",Melbourne,VIC,Corporate,Yvette Biti,Not Specified,Artisan 487 Labels,Furniture,Small Pack,Express Air,19/4/2020,2.29,3.69,1.4,7.0,25.83,1.0,0.2583,25.5717,0.5,26.0717
TX1017,11/1/2020,Katherine Nockton,"Crown Complex,Southbank",Melbourne,VIC,Consumer,Connor Betts,Critical,"Smiths Pen Style Liquid Stix; Assorted (yellow, pink, green, blue, orange), 5/Pack",Office Supplies,Small Box,Regular Air,12/1/2020,3.88,6.47,2.59,34.0,219.98,3.0,6.599399999999999,213.3806,1.22,214.6006
TX1018,6/3/2019,Delfina Latchford,"8 Rankins Lane ,Melbourne",Melbourne,VIC,Corporate,Connor Betts,Medium,Artisan 474 Labels,Office Supplies,Small Box,Regular Air,7/3/2019,1.84,2.88,1.0399999999999998,7.0,20.16,4.0,0.8064,19.3536,0.99,20.3436
TX1019,20/1/2020,Saphhira Shifley,"Westfield Miranda, 600 Kingsway,Miranda",Sydney,NSW,Corporate,Preston Senome,Medium,Alto Memo Cubes,Office Supplies,Small Box,Express Air,21/1/2020,3.32,5.18,1.8599999999999999,41.0,212.38,8.0,16.9904,195.3896,2.04,197.4296
